data: {"type":"message_start","message":{"id":"msg_bdrk_01C9naoPcSsxdTQxwBAz48oH","type":"message","role":"assistant","model":"claude-sonnet-4-20250514","content":[],"stop_reason":null,"stop_sequence":null,"usage":{"input_tokens":15,"cache_creation_input_tokens":0,"cache_read_input_tokens":0,"output_tokens":8}}}

data: {"type":"content_block_start","index":0,"content_block":{"type":"text","text":""}}
data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" on circle dataset\n    print"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"(\"\\n"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\""}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" + \"=\""}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"*40)\n    print(\"Testing"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" on Circle Dataset\")\n    print(\""}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"=\"*40)\n    \n    "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"X_"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"circle, y_circle = create_"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"circle_dataset()"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n    "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n    # Create and train neural network for"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" circle dataset"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n    nn_circle = SimpleN"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"euralNetwork(input_size="}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"2, hidden_size=10"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":", output_size=1, learning"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"_rate=1"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":")\n    losses"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"_circle = nn_circle.train"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"(X_circle, y_circle"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":", epochs=1000, verbose="}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"False"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":")\n    \n    # Plot"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" results\n    plt.subplot(1"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":", 2, 2)"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n    plt.plot(losses_circle"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":")\n    plt.title('Training"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" Loss (Circle Dataset)')\n    plt"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":".xlabel('Epoch')\n    "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"plt.ylabel('Loss')\n    "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"plt.grid(True)\n    "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n    plt.tight_layout()"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n    plt.show()\n    "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n    #"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" Visual"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"ize circle"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" dataset results"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n    plt"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":".figure(figsize=(10,"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" 4"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"))\n    \n    # Original"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" data"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n    plt.subplot(1,"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" 2, 1)\n    "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"colors"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" = ['red'"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" if label"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" =="}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" 0"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" else 'blue' for label"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" in y_circle."}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"flatten()]\n    plt.scatter("}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"X_circle[:, 0],"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" X_circle[:, 1],"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" c=colors, alpha=0."}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"7"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":")"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n    plt.title('Original Circle"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" Dataset')\n    plt.xlabel('"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"X1')\n    plt.ylabel"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"('X2')\n    "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n    # Predictions\n    plt."}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"subplot(1, 2, "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"2)\n    predictions"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"_circle = nn_circle.predict"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"(X_circle)\n    colors"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"_"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"pre"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"d = ['red' if pre"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"d "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"< 0."}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"5 else 'blue' for"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" pred in predictions_circle.flatten()]"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n    plt.scatter(X_"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"circle[:, 0], X_"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"circle[:, 1], c="}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"colors_pred, alpha=0."}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"7)\n    plt.title('"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"Neural"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" Network Predictions')\n    plt."}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"xlabel('X1')\n    plt"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":".ylabel('X2')\n    "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n    plt.tight_layout()"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n    plt.show()\n    "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n    #"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" Calculate"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" accuracy\n    predictions"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"_binary"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" = (predictions_circle > 0"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":".5).astype(int)"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n    accuracy = np.mean("}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"predictions_binary == y_circle)"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n    print(f\""}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"Accuracy on"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" circle dataset: {accuracy:.4f"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"}\")\n```\n\nThis implementation includes:"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n\n##"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" Key Features"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":":\n\n1. **Architecture"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"**: One"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" hidden layer neural"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" network"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n2. **Activation**:"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" Sigmoid function"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" with"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" its"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" derivative\n3. **Forward Propag"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"ation**: Comp"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"utes predictions"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n4. **Backward Propag"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"ation**: Comp"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"utes gradients an"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"d updates weights\n5. **Training Loop"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"**: Iter"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"atively impro"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"ves the"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" network"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n\n## Key"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" Components"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" Explained:\n\n- **Weights"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" Initialization**: Small random values to"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" break"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" symmetry\n- **Forwar"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"d Pass**: `"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"X"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" →"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" Hidden"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" Layer → Output Layer`\n- **"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"Loss"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" Function**: Mean Squared Error\n-"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" **Backpropagation**:"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" Chain"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" rule to"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" compute gradients\n- **Weight"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" Updates**: Gradient descent"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n\n## Test"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" Cases"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":":\n\n1. **XOR Problem"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"**: Classic"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" non"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"-line"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"arly separable problem"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n2. **Circle Dataset**: More"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" complex "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"2D classification"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n\nThe"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" network successfully"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" learns both"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" problems"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":","}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" demonst"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"rating its ability to handle"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" non"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"-linear relationships through"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" the"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" hidden layer.\n\nYou"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" can run"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" this code and experiment"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" with different:"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n- Network"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" architectures (hidden"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" layer"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" size)"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n- Learning"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" rates\n- Number"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" of epochs\n- Different"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" datasets"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n\nThis"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" gives"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" you a solid foundation for understanding how"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" neural networks work at"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" a"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" fundamental level!"}}

data: {"type":"content_block_stop","index":0}

data: {"type":"message_delta","delta":{"stop_reason":"end_turn","stop_sequence":null},"usage":{"output_tokens":2467}}

data: {"type":"message_stop","amazon-bedrock-invocationMetrics":{"inputTokenCount":15,"outputTokenCount":2467,"invocationLatency":23762,"firstByteLatency":614}}
